Day of Week,Stop ID,Stop Name,Total On,Total Off,Total Activity,Cumulative Load,Wheelchair
,,,,,,,
Weekday,786270,Park Ave. (Westbound In Front Of Park Ave. Baptist Church),2,5,6,64,0,37.404489,-79.163290
Weekday,786293,Rivermont Ave. (Eastbound Corner Of Arrington St.),4,3,6,44,0,37.435706,-79.172485
Weekday,786304,Rivermont Ave. (Eastbound Corner Of South Princeton Cir.),5,1,6,43,0,37.436634,-79.173568
Weekday,786336,Rivermont Avenue (Eastbound Corner Of Faquier Street),4,2,6,36,0,37.432442,-79.157041
Weekday,786337,Rivermont Avenue (Eastbound Corner Of Holly Street),4,2,6,34,0,37.433721,-79.159427
Weekday,786382,Tate Springs Rd. (Westbound Corner Of Langhorne Sq.),1,5,6,37,0,37.413732,-79.174389
Weekday,786396,Timberlake Rd. (Social Security Office Parking Lot),4,2,6,10,0,37.354524,-79.221578
Weekday,786423,Ves Rd. (Northbound Across From Westminster Nursing Home),2,4,6,34,0,37.450501,-79.189963
Weekday,786449,Wards Rd. (Northbound Sonic Burger),5,1,6,31,0,37.352679,-79.183485
Weekday,785826,Atherhold Rd. (Westbound Right Past Cvs),2,2,5,15,0,37.411357,-79.171646
Weekday,785906,Campbell Ave. (Westbound Across From Thirteenth St.),3,2,5,63,0,37.401696,-79.156508
Weekday,785929,Caroline St. (Westbound Corner Of Smythe St.),2,3,5,40,0,37.413596,-79.164147
Weekday,785936,Chambers St. (Lovell St. Dearington Apartments),3,2,5,64,0,37.417888,-79.163143
Weekday,785941,Chambers St. (Northbound Hunt St. Dearington Apartments),3,1,5,59,0,37.416398,-79.162925
Weekday,785943,Chambers St. (Northbound Pulaski St. Dearington Apartments),3,2,5,62,0,37.418503,-79.164202
Weekday,786034,Fort Ave (Westbound Auto Zone Across From Thurman Avenue),4,1,5,186,0,37.399769,-79.162296
Weekday,786047,Fort Ave. (Northbound After Harding St.),3,2,5,130,0,37.384581,-79.178161
Weekday,786084,Grace St. (Westbound Corner Of Franklin St.),3,2,5,18,0,37.402800,-79.139885
Weekday,786126,Lakeside Dr. (Westbound First Stop Past Lemon Dr.),2,3,5,47,0,37.399893,-79.204063
Weekday,786142,Langhorne Rd. (Eastbound Corner Of Carrington Rd.),2,2,5,115,0,37.410903,-79.168879
Weekday,786149,Langhorne Rd. (Westbound Across From Avante Nursing And Rehab Center),1,4,5,92,0,37.413696,-79.182371
Weekday,786159,Langhorne. Sq. (Jefferson House),3,2,5,18,0,37.414597,-79.174826
Weekday,786193,Memorial Ave. (Northbound Corner Of St. Augustine St.),2,3,5,91,0,37.400757,-79.168231
Weekday,786232,Old Forest Rd. (Westbound Across From Biscuitville),2,3,5,85,0,37.410350,-79.213273
Weekday,786234,Old Forest Rd. (Westbound Across From Poindexter St.),1,3,5,85,0,37.412662,-79.200494
Weekday,786289,River Ridge Mall. (Northbound From Red Lobster),2,3,5,74,0,37.365863,-79.174934
Weekday,786306,Rivermont Ave. (Eastbound In Front Of Virginia Baptist Hospital),4,1,5,34,0,37.439178,-79.187541
Weekday,786310,Rivermont Ave. (Outbound Corner Of Woodson Ln.),3,2,5,51,0,37.431632,-79.155261
Weekday,786325,Rivermont Ave. (Westbound Corner Of Randolph St.),1,4,5,50,0,37.426676,-79.153200
Weekday,786328,Rivermont Ave. (Westbound Corner Of West Princeton Cir.),3,2,5,81,0,37.437441,-79.174849
Weekday,786411,Twelfth St. (Eastbound Corner Of Floyd St.),1,4,5,71,0,37.406336,-79.150814
Weekday,786418,Twelfth St. (Westbound Corner Of Floyd St.),2,3,5,53,0,37.406379,-79.150981
Weekday,786420,Twelfth St. (Westbound Corner Of Taylor St.),3,2,5,53,0,37.407209,-79.149491
Weekday,786422,Ves Rd. (Northbound Across From Ves School Entrance),3,3,5,34,0,37.452404,-79.190077
