Day of Week,Stop ID,Stop Name,Total On,Total Off,Total Activity,Cumulative Load,Wheelchair,Lat,Lon
Sunday,786370,Sussex St. (Northbound Corner Of Yeardley Ave.),0,0,0,12,0,37.395548,-79.178583
Sunday,786371,Sussex St. (Northbound Midblock Between Biltmore Ave And Oakridge Blvd.),0,0,0,11,0,37.389171,-79.181210
Sunday,786380,Tate Springs Rd. (Southbound Across St. From Landover Pl.),0,0,0,18,0,37.412712,-79.176684
Sunday,786383,Tate Springs Rd. (Westbound Corner Of Thomson Dr.),0,0,0,19,0,37.414386,-79.172054
Sunday,786384,Thomas Rd. (Westbound Across From Meadowview Dr.),0,0,0,22,0,37.390823,-79.192732
Sunday,786385,Thomas Rd. (Westbound Across From Oakdale Dr.),0,0,0,22,0,37.389009,-79.195127
Sunday,786388,Thomas Rd. (Westbound First Stop Past Westchester Dr.),0,0,0,22,0,37.391699,-79.190848
Sunday,786415,Twelfth St. (Outbound Across From Polk St.),0,0,0,33,0,37.408123,-79.147591
Sunday,786419,Twelfth St. (Westbound Corner Of Polk St.),0,0,0,26,0,37.408214,-79.147688
Sunday,786424,Ves Rd. (Northbound Corner Of Pine Dr.),0,0,0,16,0,37.446771,-79.188533
Sunday,786425,Ves Rd. (Southbound Across From Pine Dr.),0,0,0,4,0,37.446986,-79.188692
Sunday,786426,Ves Rd. (Southbound Corner Of Ves School),0,0,0,3,0,37.452831,-79.189636
Sunday,786427,Ves Rd. (Southbound Corner Of Westminster Nursing Home),0,0,0,4,0,37.450494,-79.190094
Sunday,786428,Ves Rd. (Southbound Corner of Peakland Pl.),0,0,0,3,0,37.439785,-79.190646
Sunday,786430,Wadsworth St. (Eastbound Corner Of Glenwood St.),0,0,0,12,0,37.401622,-79.163767
Sunday,786469,Woodrow St. (Outbound Corner Of Parkwood Ave.),0,0,0,4,0,37.379251,-79.136904
Sunday,786475,Yorktown Ave. (Westbound Corner Of Atherholt Rd.),0,0,0,24,0,37.410110,-79.173420
Sunday,788278,Sussex St. (Southbound Across From Perry Ave.),0,0,0,23,0,37.394234,-79.179493
Sunday,788280,Sussex St. (Southbound Midblock Between Biltmore Ave. And Oakridge Blvd.),0,0,0,22,0,37.388895,-79.181319
Sunday,788281,Sussex St. (Southbound Corner Of Biltmore Ave.),0,0,0,22,0,37.387501,-79.182417
Sunday,788298,Long Meadows Dr. (Westbound Across From Pawtucket Dr.),0,0,0,9,0,37.377558,-79.200951
Sunday,788300,Sandusky Dr. (Eastbound Corner Of Pawnee Dr.),0,0,0,10,0,37.379579,-79.196539
Sunday,788301,Sandusky Dr. (Inbound Corner Of Kanawha Rd.),0,0,0,11,0,37.380511,-79.194702
Sunday,788302,Sandusky Dr. (Northbound Corner Of Crawford Rd.),0,0,0,11,0,37.383931,-79.194881
Sunday,788303,Sandusky Dr. (Northbound Across From Rhonda Rd.),0,0,0,11,0,37.386631,-79.195296
Sunday,788304,Sandusky Dr. (Northbound Corner Of Oakdale Dr.),0,0,0,11,0,37.389358,-79.194755
Sunday,788305,Greenwood Dr. (Eastbound First Stop Past Meadowview Dr.),0,0,0,11,0,37.391192,-79.191665
Sunday,2501911,Jackson Street and Garland Street,0,0,0,30,0,37.418650,-79.155372
Sunday,2505493,Downtown YMCA/Lighthouse Stop,0,0,0,30,0,37.410102,-79.139573
Sunday,2505564,Fort Ave. Lynchburg Pawn Westbound,0,0,0,18,0,37.369869,-79.197757
Sunday,3878401,OLD FOREST RD/ACROSS FROM KW,0,0,0,47,0,37.407820,-79.187730
Sunday,3878403,HILL ST/ACROSS FROM CLEARBRO,0,0,0,47,0,37.410850,-79.187230
Sunday,3880726,PERRYMONT AVE & ALEXANDER ST,0,0,0,22,0,37.387970,-79.184710
Sunday,3880727,PERRYMONT AVE ACROSS FROM PE,0,0,0,22,0,37.390200,-79.187320
Sunday,4146994,LAKESIDE DR/FOREST HILL CEME,0,0,0,14,0,37.398730,-79.215080
Sunday,4148399,OLD FOREST RD/LYNCHBURG GYNE,0,0,0,47,0,37.415400,-79.202800
Sunday,4212746,7TH & CHURCH ST,0,0,0,0,0,37.417580,-79.146140
