ROUTE,COUNT
4,3
7A,2
9,1
10,5
12,10
3A,28
3B,17
O_D,Block,Bus,Trip Start Stop ID,Trip Start Location,Trip End Stop ID,Trip End Location,Number of O_D Observations
,,,,,,,
785955-786261,302,3B,2853  ,2023-11-17,1010,0,801,10:36:04,10:40:36,785955,CLAY ST. & 11TH ST. (INBOUND    ,786261,PARK AVE. & FLOYD ST. (INBOU    ,4.53,BIKE RACK
786292-786261,302,3B,2853  ,2023-11-17,1210,0,801,12:25:08,12:39:14,786292,RIVERMONT AVE. & VISTA AVE.     ,786261,PARK AVE. & FLOYD ST. (INBOU    ,14.10,BIKE RACK
785809-786331,302,3B,2853  ,2023-11-17,1445,1,801,14:41:53,15:01:49,785809,KEMPER STREET TRANSFER STATI    ,786331,RIVERMONT AVE./ IN FRONT OF     ,19.93,BIKE RACK























































































ROUTE,COUNT
4,3
7A,2
9,1
10,5
12,10
3A,28
3B,17
